Feature,Coefficient,t-value,p-value
const,27.5798***,52.796,0.0
BCR(%),0.0203***,6.176,0.0
BHV,0.0014,0.439,0.661
NDVI,-21.4460***,-29.818,0.0
SVF,8.4274***,19.473,0.0
EV(m),-0.0114***,-12.0,0.0
Dist_BP,-0.0560,-0.889,0.3741
Dist_MT,0.0172,0.446,0.6555
Dist_WB,-0.0982.,-1.71,0.0873
WR(%),-0.1134***,-53.601,0.0
W_BCR(%),-0.0352***,-4.178,0.0
W_BHV,-0.0110,-1.339,0.1804
W_NDVI,-10.5876***,-4.858,0.0
W_SVF,3.3434***,5.477,0.0
W_EV(m),0.0039.,1.956,0.0505
W_WR(%),-0.0394***,-5.926,0.0
rho,0.8184***,47.264,0.0
Log-likelihood,-1997.3992,,
R²,0.8573,,
