Variable,Mean,Min,Max,SD,Grid,N
Normal_LST,37.29,25.02,51.24,4.56,120,24306
Extreme_LST,42.04,29.72,57.56,4.82,120,24306
HR_LST,-4.75,-9.27,4.03,1.46,120,24306
BHV,4.2,0.0,86.6,7.75,120,24306
BCR,10.48,0.0,59.63,12.68,120,24306
SVF,0.86,0.47,1.0,0.11,120,24306
NDVI,0.2,-0.03,0.48,0.12,120,24306
EV,46.7,5.0,502.62,54.08,120,24306
WR,5.77,0.0,100.0,22.08,120,24306
Dist_P,0.8,0.0,4.93,0.76,120,24306
Dist_W,1.4,0.0,6.53,1.23,120,24306
Dist_M,2.27,0.0,10.9,2.18,120,24306
Normal_LST,37.26,25.16,49.51,4.41,240,6093
Extreme_LST,42.02,29.77,53.68,4.68,240,6093
HR_LST,-4.76,-8.89,3.74,1.42,240,6093
BHV,6.81,0.0,92.01,8.64,240,6093
BCR,13.52,0.0,51.94,13.15,240,6093
SVF,0.86,0.56,1.0,0.1,240,6093
NDVI,0.2,-0.03,0.47,0.11,240,6093
EV,46.47,5.0,485.97,53.36,240,6093
WR,6.08,0.0,100.0,21.63,240,6093
Dist_P,0.79,0.0,4.85,0.76,240,6093
Dist_W,1.4,0.0,6.51,1.24,240,6093
Dist_M,2.27,0.0,10.83,2.18,240,6093
Normal_LST,37.23,25.62,47.6,4.11,480,1572
Extreme_LST,41.94,30.01,51.98,4.38,480,1572
HR_LST,-4.71,-8.46,1.73,1.39,480,1572
BHV,8.49,0.0,60.62,7.96,480,1572
BCR,15.42,0.0,45.4,12.67,480,1572
SVF,0.86,0.59,1.0,0.08,480,1572
NDVI,0.2,-0.02,0.45,0.1,480,1572
EV,46.48,5.0,445.21,52.36,480,1572
WR,6.29,0.0,100.0,20.35,480,1572
Dist_P,0.79,0.0,4.68,0.76,480,1572
Dist_W,1.39,0.0,6.45,1.23,480,1572
Dist_M,2.27,0.0,10.67,2.17,480,1572
