Year,Grid,Target,Model,Formula,CONSTANT,BCR,BHV,SVF,NDVI,EV,WR,Dist_W,Dist_P,Dist_M,W_BCR,W_BHV,W_SVF,W_NDVI,W_EV,W_WR,lambda
2023,480m,nor_2023,SDEM,nor_2023 = 37.4249 + 0.0267*BCR + 0.0033*BHV + 7.7807*SVF + -27.5380*NDVI + -0.0122*EV + -0.1727*WR + -0.2168*Dist_W + -0.0881*Dist_P + 0.0103*Dist_M + -0.0011*W_BCR + 0.0098*W_BHV + 0.9387*W_SVF + -2.9640*W_NDVI + -0.0021*W_EV + -0.0292*W_WR + 0.8250*lambda,37.42490726665437,0.02674418098876963,0.00332772095924927,7.780676793660291,-27.53798340031715,-0.01215806900215477,-0.1727367380303084,-0.2167573157805975,-0.08813838566881227,0.0102700836853522,-0.00106362438350871,0.009793616154818885,0.9386618829950635,-2.964006049218142,-0.002068285556305893,-0.02916886697027632,0.8249886453583409
2023,480m,ext_2023,SDEM,ext_2023 = 40.0883 + 0.0256*BCR + 0.0006*BHV + 8.3616*SVF + -29.4204*NDVI + -0.0114*EV + -0.1725*WR + -0.2396*Dist_W + -0.2239*Dist_P + -0.1696*Dist_M + 0.0193*W_BCR + 0.0377*W_BHV + 2.9527*W_SVF + -4.2769*W_NDVI + 0.0026*W_EV + -0.0304*W_WR + 0.9065*lambda,40.08827581194345,0.02562683723180914,0.0006334302069377351,8.361635846717377,-29.42036659513795,-0.01136980469868253,-0.1725136588225834,-0.2395516269532294,-0.2238905523772914,-0.1696154162959296,0.01933043204116647,0.03766116619901738,2.95270981957367,-4.27687517070035,0.002626758856460076,-0.03035810366291525,0.9065316616589904
2023,480m,hr_2023,SDEM,hr_2023 = -2.5438 + 0.0004*BCR + 0.0032*BHV + -0.6424*SVF + 1.6928*NDVI + -0.0007*EV + 0.0005*WR + 0.0621*Dist_W + 0.1557*Dist_P + 0.1643*Dist_M + -0.0177*W_BCR + -0.0218*W_BHV + -1.7902*W_SVF + 0.7802*W_NDVI + -0.0038*W_EV + -0.0004*W_WR + 0.9537*lambda,-2.543829163977023,0.0004037968976607215,0.003206937387619409,-0.6424236634383576,1.692753262977735,-0.000698609715053334,0.0004973382454345849,0.06213842388610563,0.1557406617450731,0.1643245622514108,-0.01770453464299614,-0.02184423152040246,-1.790213185412594,0.7802312057193959,-0.00376873917528925,-0.0004092719428027969,0.9536901855464407
2016,480m,nor_2016,SDEM,nor_2016 = 27.5798 + 0.0203*BCR + 0.0014*BHV + 8.4274*SVF + -21.4460*NDVI + -0.0114*EV + -0.1134*WR + -0.0982*Dist_W + -0.0560*Dist_P + 0.0172*Dist_M + -0.0352*W_BCR + -0.0110*W_BHV + 3.3434*W_SVF + -10.5876*W_NDVI + 0.0039*W_EV + -0.0394*W_WR + 0.8184*lambda,27.57982793206884,0.02028387111793561,0.001419298453569695,8.42738225775463,-21.44596581504433,-0.01140317445350214,-0.1133569528725568,-0.09821156265740072,-0.05596024686117396,0.01716698883149093,-0.03522901751859209,-0.01101619323685732,3.343367612283032,-10.58757376090716,0.003947883204716174,-0.03935686871850308,0.8184191467089608
2016,480m,ext_2016,SDEM,ext_2016 = 39.3798 + 0.0326*BCR + -0.0036*BHV + 8.9039*SVF + -38.8294*NDVI + -0.0148*EV + -0.1873*WR + -0.2271*Dist_W + -0.0456*Dist_P + -0.1242*Dist_M + -0.0248*W_BCR + 0.0113*W_BHV + 4.9234*W_SVF + -9.7617*W_NDVI + 0.0050*W_EV + -0.0444*W_WR + 0.8400*lambda,39.37979300086965,0.03260006332538001,-0.003561949814260501,8.903898776847086,-38.82938855785508,-0.01481809714631882,-0.1873169471427689,-0.2270833084102648,-0.04563873927568274,-0.1241661762681794,-0.02475634050285258,0.01133688671388011,4.92341036781545,-9.761720267440978,0.005035230134796231,-0.0443545758479722,0.8399855003197215
2016,480m,hr_2016,SDEM,hr_2016 = -11.9287 + -0.0118*BCR + 0.0056*BHV + -0.3798*SVF + 17.4904*NDVI + 0.0033*EV + 0.0735*WR + 0.0882*Dist_W + -0.0281*Dist_P + 0.1634*Dist_M + -0.0085*W_BCR + -0.0200*W_BHV + -1.7936*W_SVF + 0.7076*W_NDVI + -0.0013*W_EV + 0.0096*W_WR + 0.9190*lambda,-11.92872396358571,-0.01175183336435903,0.005601839246477447,-0.3797601186276509,17.490446709421,0.003289663403157997,0.07353335718803154,0.08823711448589178,-0.02814275469600414,0.1633638033068712,-0.008530669157912785,-0.01998111712115003,-1.79363380955639,0.7075956019638738,-0.001292456955003879,0.009579292566616382,0.9190104778811024
