Feature,Coefficient,t-value,p-value
const,23.2855***,41.933,0.0
BCR(%),0.0338***,8.858,0.0
BHV,0.0128***,3.506,0.0005
NDVI,-20.0875***,-23.867,0.0
SVF,10.9005***,22.223,0.0
EV(m),-0.0123***,-11.181,0.0
Dist_BP,-0.0056,-0.187,0.8519
Dist_MT,-0.0228*,-2.091,0.0365
Dist_WB,-0.0086,-0.437,0.6621
WR(%),-0.1102***,-44.894,0.0
W_BCR(%),-0.1100***,-19.633,0.0
W_BHV,-0.1021***,-17.164,0.0
W_NDVI,2.6954.,1.908,0.0564
W_SVF,-16.4776***,-21.296,0.0
W_EV(m),0.0050***,3.554,0.0004
W_WR(%),0.0332***,6.85,0.0
rho,0.5826***,30.809,0.0
Log-likelihood,-2189.2984,,
R²,0.9066,,
